,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
CNRM-ESM2-1,r4i1p1f2,0.00,Basic,-,-,-,-,-,0,,0.02,,1.00,,,,,,,1.00,2.00,1.00,2.00,,,1.00,,,1.00,1.00,,,,,,1.78,,,,,,,,2.00,2.00,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r5i1p1f2,0.00,Basic,-,-,-,-,-,0,,0.02,,1.00,,,,,,,1.00,2.00,1.00,2.00,,,1.00,,,1.00,1.00,,,,,,1.75,,,,,,,,2.00,2.00,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r6i1p1f2,0.00,Basic,,,-,,,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,,,,,,
CNRM-ESM2-1,r7i1p1f2,0.00,Basic,,,-,,,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,,,,,,
CNRM-ESM2-1,r8i1p1f2,0.00,Basic,,,-,,,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,,,,,,
CNRM-ESM2-1,r9i1p1f2,0.00,Basic,,,-,,,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,,,,,,
CNRM-ESM2-1,r10i1p1f2,0.00,Basic,,,-,,,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,,,,,,
CanESM5,r1i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,4,,,0.78,0.00,,3.00,0.00,0.09,-0.10,0.90,3.00,2.00,3.00,1.00,,,1.00,,0.82,2.00,1.00,,,1.80,1.60,,1.73,5.62,-0.01,0.98,4.75,6.20,-0.27,-10.76,5.00,5.00,5.10,CanESM,dust ss,2222222121.00,,
CanESM5,r1i1p2f1,1.00,AORCM,ESD,AORCM,AORCM,AORCM,AORCM,3,2.74,0.00,0.82,0.00,,,,,,,,,,,,,,,,,,,,1.90,1.70,2.74,1.72,,,,,,,,5.00,5.00,,CanESM,dust ss,,365_day,500.00
CanESM5,r2i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.75,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r2i1p2f1,1.00,AORCM,ESD,AORCM,AORCM,AORCM,AORCM,3,2.74,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,2.74,1.72,,,,,,,,5.00,5.00,,CanESM,dust ss,,,500.00
CanESM5,r3i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.71,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r3i1p2f1,1.00,AORCM,ESD,AORCM,AORCM,AORCM,AORCM,3,2.74,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,2.74,1.71,,,,,,,,5.00,5.00,,CanESM,dust ss,,,500.00
CanESM5,r4i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.71,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r4i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r5i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.71,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r5i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.70,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r6i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.72,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r6i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r7i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.73,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r7i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.74,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r8i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.68,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r8i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
CanESM5,r9i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,3,,,,0.00,,,,,,,3.00,2.00,3.00,1.00,,,1.00,,,2.00,1.00,,,,,,1.73,,,,,,,,5.00,5.00,,,dust ss,,,
CanESM5,r9i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,5.00,5.00,,CanESM,dust ss,,,
