model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585
EC-Earth3-Veg,r14i1p1f1,0,-,,Basic,,,
EC-Earth3,r1i1p1f1,0,ESD,,ESD,ESD,ESD,ESD
EC-Earth3,r1i1p1f2,0,,,,ESD,,
EC-Earth3,r2i1p1f1,0,Basic,,,Basic,,
EC-Earth3,r2i1p1f2,0,,,,ESD,,
EC-Earth3,r3i1p1f1,0,ESD,,-,,,ESD
EC-Earth3,r4i1p1f1,0,ESD,ESD,ESD,ESD,ESD,ESD
EC-Earth3,r4i1p1f2,0,,,,ESD,,
EC-Earth3,r6i1p1f1,0,ESD,,ESD,ESD,ESD,ESD
EC-Earth3,r7i1p1f1,0,Basic,,,Basic,,
EC-Earth3,r8i1p1f2,0,,,,ESD,,
EC-Earth3,r9i1p1f1,0,ESD,,ESD,ESD,ESD,ESD
EC-Earth3,r10i1p1f1,0,Basic,,,Basic,,
EC-Earth3,r10i1p1f2,0,,,,ESD,,
EC-Earth3,r11i1p1f1,0,ESD,,ESD,ESD,ESD,ESD
EC-Earth3,r12i1p1f1,0,Basic,,,-,,
EC-Earth3,r12i1p1f2,0,,,,ESD,,
EC-Earth3,r13i1p1f1,0,ESD,,ESD,ESD,ESD,ESD
EC-Earth3,r13i1p1f2,0,,,,ESD,,
EC-Earth3,r14i1p1f1,0,Basic,,,Basic,,
EC-Earth3,r15i1p1f1,0,ESD,,ESD,ESD,ESD,ESD
EC-Earth3,r15i1p1f2,0,,,,ESD,,
EC-Earth3,r16i1p1f1,0,Basic,,,Basic,,
EC-Earth3,r16i1p1f2,0,,,,ESD,,
EC-Earth3,r17i1p1f1,0,Basic,,,Basic,,
EC-Earth3,r17i1p1f2,0,,,,ESD,,
EC-Earth3,r18i1p1f1,0,Basic,,,Basic,,
EC-Earth3,r18i1p1f2,0,,,,ESD,,
EC-Earth3,r19i1p1f1,0,Basic,,,Basic,,
EC-Earth3,r19i1p1f2,0,,,,ESD,,
EC-Earth3,r20i1p1f1,0,Basic,,,Basic,,
EC-Earth3,r20i1p1f2,0,,,,ESD,,
EC-Earth3,r21i1p1f1,0,Basic,,,Basic,,
EC-Earth3,r21i1p1f2,0,,,,ESD,,
EC-Earth3,r22i1p1f1,0,Basic,,,Basic,,
EC-Earth3,r22i1p1f2,0,,,,ESD,,
EC-Earth3,r23i1p1f1,0,Basic,,,Basic,,
EC-Earth3,r23i1p1f2,0,,,,ESD,,
EC-Earth3,r24i1p1f1,0,Basic,,,Basic,,
EC-Earth3,r24i1p1f2,0,,,,ESD,,
EC-Earth3,r25i1p1f1,0,Basic,,,Basic,,
EC-Earth3,r25i1p1f2,0,,,,ESD,,
EC-Earth3,r26i1p1f2,0,,,,ESD,,
EC-Earth3,r27i1p1f2,0,,,,ESD,,
EC-Earth3,r28i1p1f2,0,,,,ESD,,
EC-Earth3,r29i1p1f2,0,,,,ESD,,
EC-Earth3,r30i1p1f2,0,,,,ESD,,
EC-Earth3,r101i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r102i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r103i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r104i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r105i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r106i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r107i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r108i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r109i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
