,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
CanESM5,r20i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r21i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r21i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r22i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r22i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r23i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r23i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r24i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r24i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r25i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,dust ss,,,
CanESM5,r25i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,,0.00,0.00,,,,,CanESM,dust ss,,,
CanESM5,r26i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r27i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r28i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r29i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r30i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r31i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r32i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r33i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
